rule_id,rule_title,rule_source,framework,framework_name,edition,relation,fit,identifier,identifier_title
clmobs,Claims about the work rest on observation,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-claims-rest-on-observation.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.12,Transparency and explainability
clmobs,Claims about the work rest on observation,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-claims-rest-on-observation.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
corrob,Corroborate external claims,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-corroborate-external-claims.md,atlas,MITRE ATLAS,2026.06,mitigates technique,tight,AML.T0067.000,Citations
corrob,Corroborate external claims,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-corroborate-external-claims.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
corrob,Corroborate external claims,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-corroborate-external-claims.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MEASURE 2.9,"The AI model is explained, validated, and documented, and AI system output is interpreted within its context."
corrob,Corroborate external claims,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-corroborate-external-claims.md,owasp-llm,OWASP Top 10 for LLM Applications,2026,addresses risk,tight,LLM07,Misinformation
evgcmp,Evidence-grounded completion,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-evidence-grounded-completion.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.12,Transparency and explainability
evgcmp,Evidence-grounded completion,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-evidence-grounded-completion.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
grdinp,A guard is only as good as its input,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-guard-input-soundness.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MEASURE 2.13,Effectiveness of the employed TEVV metrics and processes in the MEASURE function are evaluated and documented.
grdinp,A guard is only as good as its input,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-guard-input-soundness.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,tight,MAP 2.3,"Scientific integrity and TEVV considerations are identified and documented, including those related to experimental design, data collection and selection, and construct validation."
nofabr,No fabrication,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-no-fabrication.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,A.12,Transparency and explainability
nofabr,No fabrication,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-no-fabrication.md,iso-23894,ISO/IEC 23894:2023 AI guidance on risk management,2023,aligns with guidance,broad,B.5,Risk sources related to machine learning
nofabr,No fabrication,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-no-fabrication.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
nofabr,No fabrication,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-no-fabrication.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MEASURE 2.9,"The AI model is explained, validated, and documented, and AI system output is interpreted within its context."
nofabr,No fabrication,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-no-fabrication.md,owasp-llm,OWASP Top 10 for LLM Applications,2026,addresses risk,tight,LLM07,Misinformation
rdbchr,Read before characterizing,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-read-before-characterizing.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
rdbchr,Read before characterizing,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-read-before-characterizing.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,MEASURE 2.9,"The AI model is explained, validated, and documented, and AI system output is interpreted within its context."
refcap,Capture the reference when the claim is made,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-reference-capture.md,iso-42001,ISO/IEC 42001:2023 AI management system,2023,supports control,tight,A.7.5,Data provenance
reprod,Reproduce a defect before fixing it,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-reproduce-before-fix.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,SI-2,Flaw Remediation
reprod,Reproduce a defect before fixing it,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-reproduce-before-fix.md,nist-ssdf,NIST Secure Software Development Framework,1.1 (SP 800-218),supports control,broad,RV.1.2,Test code to confirm new vulnerabilities
tstamp,A current timestamp is read from the clock,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-timestamp-from-clock.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,broad,AU-8,Time Stamps
valinf,Validate an inferred premise before acting,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-ACCUR-validate-inference-before-action.md,nist-airmf,NIST AI Risk Management Framework,1.0 (NIST AI 100-1),aligns with guidance,broad,GOVERN 4.1,Organizational policies and practices are in place to foster a critical thinking and safety-first mindset.
actbef,Anything wrong is fixed first,https://github.com/jposluns/guardrails/blob/main/.claude/rules/aiqt/10-INTEG-anything-wrong-fixed-first.md,nist-80053,NIST SP 800-53 Security and Privacy Controls,Rev 5 (catalog 5.2.0),supports control,tight,SI-2,Flaw Remediation
